env_step,episode,episodic_return,avg_return_100,epsilon,td_loss
193,0,3.0,3.0,0.9998263,None
468,1,1.0,2.0,0.9995788,None
709,2,8.0,4.0,0.9993619,None
916,3,7.0,4.75,0.9991756,None
1105,4,2.0,4.2,0.9990055,None
1251,5,4.0,4.166666666666667,0.9988741,None
1426,6,1.0,3.7142857142857144,0.9987166,None
1577,7,1.0,3.375,0.9985807,None
1673,8,1.0,3.111111111111111,0.9984943,None
1816,9,4.0,3.2,0.9983656,None
1999,10,7.0,3.5454545454545454,0.9982009,None
2154,11,2.0,3.4166666666666665,0.9980614,None
2450,12,7.0,3.6923076923076925,0.997795,None
2748,13,9.0,4.071428571428571,0.9975268,None
2897,14,2.0,3.933333333333333,0.9973927,None
3029,15,2.0,3.8125,0.9972739,None
3186,16,5.0,3.8823529411764706,0.9971326,None
3337,17,2.0,3.7777777777777777,0.9969967,None
3644,18,6.0,3.8947368421052633,0.9967204,None
3855,19,5.0,3.95,0.9965305,None
3998,20,3.0,3.9047619047619047,0.9964018,None
4144,21,3.0,3.8636363636363638,0.9962704,None
4322,22,4.0,3.869565217391304,0.9961102,None
4512,23,1.0,3.75,0.9959392,None
4735,24,3.0,3.72,0.9957385,None
5016,25,2.0,3.6538461538461537,0.9954856,None
5163,26,2.0,3.5925925925925926,0.9953533,None
5257,27,0.0,3.4642857142857144,0.9952687,None
5622,28,11.0,3.7241379310344827,0.9949402,None
5768,29,1.0,3.6333333333333333,0.9948088,None
5959,30,5.0,3.6774193548387095,0.9946369,None
6204,31,6.0,3.75,0.9944164,None
6355,32,3.0,3.727272727272727,0.9942805,None
6962,33,11.0,3.9411764705882355,0.9937342,None
7113,34,3.0,3.914285714285714,0.9935983,None
7455,35,7.0,4.0,0.9932905,None
7631,36,3.0,3.972972972972973,0.9931321,None
7813,37,3.0,3.9473684210526314,0.9929683,None
8098,38,4.0,3.948717948717949,0.9927118,None
8276,39,2.0,3.9,0.9925516,None
8409,40,1.0,3.8292682926829267,0.9924319,None
8597,41,3.0,3.8095238095238093,0.9922627,None
8747,42,3.0,3.7906976744186047,0.9921277,None
8962,43,4.0,3.7954545454545454,0.9919342,None
9157,44,3.0,3.7777777777777777,0.9917587,None
9334,45,4.0,3.782608695652174,0.9915994,None
9789,46,7.0,3.851063829787234,0.9911899,None
9953,47,6.0,3.8958333333333335,0.9910423,None
10124,48,1.0,3.836734693877551,0.9908884,None
10296,49,5.0,3.86,0.9907336,None
10443,50,3.0,3.843137254901961,0.9906013,None
10627,51,3.0,3.826923076923077,0.9904357,None
10894,52,3.0,3.811320754716981,0.9901954,None
11042,53,5.0,3.8333333333333335,0.9900622,None
11191,54,1.0,3.7818181818181817,0.9899281,None
11405,55,5.0,3.8035714285714284,0.9897355,None
11584,56,3.0,3.789473684210526,0.9895744,None
11704,57,1.0,3.7413793103448274,0.9894664,None
11887,58,6.0,3.7796610169491527,0.9893017,None
12036,59,4.0,3.783333333333333,0.9891676,None
12180,60,1.0,3.737704918032787,0.989038,None
12358,61,6.0,3.774193548387097,0.9888778,None
12446,62,0.0,3.7142857142857144,0.9887986,None
12589,63,3.0,3.703125,0.9886699,None
12900,64,6.0,3.7384615384615385,0.98839,None
13057,65,5.0,3.757575757575758,0.9882487,None
13461,66,11.0,3.8656716417910446,0.9878851,None
13597,67,4.0,3.8676470588235294,0.9877627,None
13751,68,4.0,3.869565217391304,0.9876241,None
13951,69,3.0,3.857142857142857,0.9874441,None
14099,70,3.0,3.8450704225352115,0.9873109,None
14269,71,3.0,3.8333333333333335,0.9871579,None
14501,72,4.0,3.835616438356164,0.9869491,None
14652,73,3.0,3.824324324324324,0.9868132,None
14819,74,5.0,3.84,0.9866629,None
14957,75,5.0,3.8552631578947367,0.9865387,None
15195,76,6.0,3.883116883116883,0.9863245,None
15415,77,4.0,3.8846153846153846,0.9861265,None
15590,78,6.0,3.911392405063291,0.985969,None
15821,79,1.0,3.875,0.9857611,None
15962,80,2.0,3.8518518518518516,0.9856342,None
16220,81,3.0,3.841463414634146,0.985402,None
16372,82,5.0,3.855421686746988,0.9852652,None
16581,83,7.0,3.892857142857143,0.9850771,None
16722,84,2.0,3.8705882352941177,0.9849502,None
16879,85,4.0,3.872093023255814,0.9848089,None
17031,86,2.0,3.8505747126436782,0.9846721,None
17190,87,4.0,3.852272727272727,0.984529,None
