env_step,episode,ep_len,episodic_return,avg_return_100
39472,202,330,9.0,4.16
39952,203,421,11.0,4.27
40176,204,176,4.0,4.27
40832,205,148,4.0,4.24
40928,206,168,4.0,4.2
41024,207,110,0.0,4.16
41824,208,147,3.0,4.11
42192,209,79,1.0,4.12
42240,210,190,4.0,4.09
42336,211,275,8.0,3.94
41120,212,146,4.0,3.97
41888,213,182,4.0,3.92
42176,214,267,12.0,4.03
42528,215,146,1.0,4.03
42928,216,165,4.0,4.06
43280,217,196,4.0,4.07
43664,218,159,4.0,4.1
43888,219,257,7.0,4.12
44144,220,141,4.0,4.1
43296,221,151,4.0,4.07
43792,222,207,7.0,4.11
44304,223,514,14.0,4.16
44304,224,154,4.0,4.2
44624,225,188,5.0,4.21
44768,226,290,10.0,4.31
45008,227,182,6.0,4.33
45024,228,237,8.0,4.37
45616,229,145,2.0,4.39
45184,230,101,0.0,4.35
45376,231,195,3.0,4.37
46240,232,220,4.0,4.41
46880,233,245,7.0,4.43
47184,234,340,12.0,4.53
47232,235,291,10.0,4.57
47584,236,150,0.0,4.56
47776,237,300,12.0,4.63
47968,238,162,7.0,4.66
48144,239,368,9.0,4.75
48608,240,148,0.0,4.73
47232,241,150,3.0,4.75
47520,242,89,0.0,4.75
47536,243,147,3.0,4.73
48656,244,183,5.0,4.73
49088,245,198,9.0,4.8
49216,246,166,5.0,4.82
49824,247,293,6.0,4.86
50560,248,208,8.0,4.84
50608,249,192,4.0,4.79
50928,250,142,3.0,4.79
51120,251,225,3.0,4.82
49280,252,140,2.0,4.8
50144,253,148,2.0,4.81
50192,254,105,2.0,4.83
50768,255,93,0.0,4.8
51232,256,254,6.0,4.82
51376,257,144,3.0,4.78
51984,258,194,5.0,4.78
52192,259,544,20.0,4.94
52544,260,82,1.0,4.94
52640,261,156,2.0,4.89
52848,262,92,0.0,4.85
53104,263,182,4.0,4.78
53120,264,147,0.0,4.73
51872,265,121,2.0,4.74
52000,266,88,0.0,4.74
52032,267,118,1.0,4.71
52192,268,87,1.0,4.64
53168,269,416,16.0,4.74
53264,270,137,1.0,4.71
54368,271,148,1.0,4.7
54624,272,91,0.0,4.67
55120,273,193,7.0,4.74
55184,274,120,0.0,4.71
55280,275,193,5.0,4.68
53632,276,324,11.0,4.75
53984,277,88,0.0,4.75
54544,278,295,7.0,4.79
54912,279,111,2.0,4.77
55040,280,113,1.0,4.75
55104,281,174,4.0,4.75
55328,282,141,2.0,4.71
56384,283,92,0.0,4.65
56480,284,467,15.0,4.65
56832,285,178,0.0,4.65
56848,286,201,6.0,4.71
57120,287,112,2.0,4.7
55952,288,185,7.0,4.74
56192,289,87,0.0,4.72
56960,290,244,8.0,4.74
57248,291,297,8.0,4.78
57360,292,143,0.0,4.75
58256,293,217,9.0,4.8
59088,294,196,7.0,4.69
59312,295,147,2.0,4.67
58160,296,361,10.0,4.72
58528,297,274,9.0,4.79
58608,298,84,0.0,4.7
58704,299,219,9.0,4.73
59520,300,155,3.0,4.71
59584,301,456,12.0,4.8
60352,302,315,6.0,4.77
61184,303,100,0.0,4.66
61232,304,158,5.0,4.67
61376,305,173,5.0,4.68
59408,306,183,8.0,4.72
60208,307,378,10.0,4.82
60336,308,179,6.0,4.85
61328,309,189,4.0,4.88
61904,310,156,5.0,4.89
62176,311,190,7.0,4.88
62800,312,217,7.0,4.91
62848,313,229,9.0,4.96
61664,314,211,5.0,4.89
62128,315,504,19.0,5.07
62240,316,149,1.0,5.04
62736,317,163,4.0,5.04
62960,318,230,7.0,5.07
63216,319,154,3.0,5.03
63664,320,179,4.0,5.03
64864,321,419,9.0,5.08
65136,322,217,9.0,5.1
65232,323,142,3.0,4.99
65344,324,105,0.0,4.95
65488,325,210,4.0,4.94
64576,326,274,10.0,4.94
65488,327,144,2.0,4.9
65984,328,181,7.0,4.89
66704,329,346,9.0,4.96
66720,330,205,10.0,5.06
67136,331,270,7.0,5.1
67232,332,246,8.0,5.14
66448,333,188,5.0,5.12
66528,334,90,0.0,5.0
66560,335,252,6.0,4.96
68016,336,255,8.0,5.04
68160,337,186,6.0,4.98
68256,338,106,1.0,4.92
68608,339,623,19.0,5.02
68736,340,255,7.0,5.09
68912,341,265,8.0,5.14
67840,342,210,8.0,5.22
68672,343,124,4.0,5.23
69008,344,153,4.0,5.22
69040,345,290,6.0,5.19
69072,346,179,5.0,5.19
70048,347,199,7.0,5.2
70240,348,258,11.0,5.23
70560,349,170,3.0,5.22
70816,350,113,0.0,5.19
70864,351,306,6.0,5.22
71040,352,148,3.0,5.23
69776,353,172,5.0,5.26
69952,354,185,7.0,5.31
70480,355,143,2.0,5.33
71120,356,147,3.0,5.3
71424,357,182,7.0,5.34
71872,358,191,6.0,5.35
72272,359,267,8.0,5.23
72576,360,164,4.0,5.26
72688,361,138,3.0,5.27
73344,362,139,0.0,5.27
73392,363,123,4.0,5.27
72576,364,80,0.0,5.27
72912,365,168,6.0,5.31
73040,366,157,4.0,5.35
73552,367,233,10.0,5.44
73616,368,186,5.0,5.48
73648,369,419,13.0,5.45
73712,370,148,3.0,5.47
73840,371,382,14.0,5.6
74976,372,150,2.0,5.62
75200,373,85,1.0,5.56
73872,374,138,0.0,5.56
74144,375,197,7.0,5.58
74192,376,208,7.0,5.54
74368,377,90,0.0,5.54
75360,378,237,7.0,5.54
75392,379,237,10.0,5.62
76576,380,149,4.0,5.65
77168,381,189,6.0,5.67
77664,382,144,5.0,5.7
76192,383,421,11.0,5.81
76608,384,93,0.0,5.66
76720,385,211,7.0,5.73
76752,386,308,10.0,5.77
78144,387,440,15.0,5.9
78512,388,387,12.0,5.95
79456,389,178,6.0,6.01
79632,390,215,8.0,6.01
77920,391,201,6.0,5.99
78384,392,369,12.0,6.11
78496,393,308,8.0,6.1
78528,394,241,8.0,6.11
78976,395,157,6.0,6.15
79840,396,141,2.0,6.07
80192,397,256,7.0,6.05
80240,398,145,3.0,6.08
81168,399,167,5.0,6.04
81360,400,186,7.0,6.08
81600,401,192,5.0,6.01
79904,402,284,12.0,6.07
80368,403,161,5.0,6.12
80656,404,233,6.0,6.13
80688,405,159,5.0,6.13
80912,406,112,1.0,6.06
81440,407,203,5.0,6.01
82688,408,145,3.0,5.98
83408,409,256,7.0,6.01
83552,410,181,4.0,6.0
83840,411,183,6.0,5.99
81968,412,279,6.0,5.98
82240,413,178,3.0,5.92
83472,414,302,7.0,5.94
83696,415,191,3.0,5.78
83952,416,381,10.0,5.87
84432,417,183,7.0,5.9
84544,418,172,6.0,5.89
84560,419,200,7.0,5.93
84640,420,150,3.0,5.92
84800,421,177,5.0,5.88
85776,422,144,2.0,5.81
85216,423,93,0.0,5.78
85216,424,169,7.0,5.85
85312,425,170,3.0,5.84
85376,426,180,6.0,5.8
85584,427,230,9.0,5.87
86944,428,331,9.0,5.89
87680,429,144,4.0,5.84
86304,430,196,4.0,5.78
86336,431,175,5.0,5.76
87616,432,278,7.0,5.75
87712,433,438,14.0,5.84
88352,434,501,20.0,6.04
88400,435,173,8.0,6.06
89312,436,378,14.0,6.12
89776,437,305,7.0,6.13
89840,438,139,1.0,6.13
88112,439,241,9.0,6.03
88160,440,156,5.0,6.01
88560,441,138,2.0,5.95
88704,442,90,1.0,5.88
88720,443,151,4.0,5.88
89184,444,306,10.0,5.94
89664,445,121,2.0,5.9
90016,446,91,0.0,5.85
