env_step,episode,ep_len,episodic_return,avg_return_100
408,1,0,0.0,0.0
868,2,0,0.0,0.0
972,3,0,0.0,0.0
1116,4,0,0.0,0.0
1536,5,0,0.0,0.0
1708,6,0,0.0,0.0
1944,7,0,0.0,0.0
2256,8,0,0.0,0.0
2272,9,0,0.0,0.0
2332,10,0,0.0,0.0
2644,11,0,0.0,0.0
2920,12,0,0.0,0.0
3020,13,0,0.0,0.0
3028,14,0,0.0,0.0
3732,15,0,0.0,0.0
3972,16,0,0.0,0.0
4084,17,0,0.0,0.0
4300,18,0,0.0,0.0
4708,19,0,0.0,0.0
4836,20,0,0.0,0.0
4908,21,0,0.0,0.0
5072,22,0,0.0,0.0
5460,23,0,0.0,0.0
5472,24,0,0.0,0.0
5540,25,0,0.0,0.0
5880,26,0,0.0,0.0
5984,27,0,0.0,0.0
6020,28,0,0.0,0.0
6396,29,0,0.0,0.0
6524,30,0,0.0,0.0
6676,31,0,0.0,0.0
6772,32,0,0.0,0.0
6900,33,0,0.0,0.0
7156,34,0,0.0,0.0
7228,35,0,0.0,0.0
7252,36,0,0.0,0.0
7544,37,0,0.0,0.0
7640,38,0,0.0,0.0
7684,39,0,0.0,0.0
7800,40,0,0.0,0.0
8036,41,0,0.0,0.0
8360,42,0,0.0,0.0
8376,43,0,0.0,0.0
8940,44,0,0.0,0.0
9016,45,0,0.0,0.0
9432,46,0,0.0,0.0
9504,47,0,0.0,0.0
9572,48,0,0.0,0.0
9596,49,0,0.0,0.0
10084,50,0,0.0,0.0
10344,51,0,0.0,0.0
10476,52,0,0.0,0.0
10812,53,0,0.0,0.0
10916,54,0,0.0,0.0
11100,55,0,0.0,0.0
11488,56,0,0.0,0.0
11532,57,0,0.0,0.0
11712,58,0,0.0,0.0
11728,59,0,0.0,0.0
12168,60,0,0.0,0.0
12388,61,0,0.0,0.0
12756,62,0,0.0,0.0
12772,63,0,0.0,0.0
13168,64,0,0.0,0.0
13332,65,0,0.0,0.0
13380,66,0,0.0,0.0
13816,67,0,0.0,0.0
14060,68,0,0.0,0.0
14104,69,0,0.0,0.0
14244,70,0,0.0,0.0
14504,71,0,0.0,0.0
14668,72,0,0.0,0.0
14896,73,0,0.0,0.0
15008,74,0,0.0,0.0
15228,75,0,0.0,0.0
15464,76,0,0.0,0.0
15696,77,0,0.0,0.0
15728,78,0,0.0,0.0
15884,79,0,0.0,0.0
16220,80,0,0.0,0.0
16408,81,0,0.0,0.0
16416,82,0,0.0,0.0
16584,83,0,0.0,0.0
16920,84,0,0.0,0.0
17016,85,0,0.0,0.0
17120,86,0,0.0,0.0
17164,87,0,0.0,0.0
17264,88,0,0.0,0.0
17840,89,0,0.0,0.0
17932,90,0,0.0,0.0
17980,91,0,0.0,0.0
18488,92,0,0.0,0.0
18652,93,0,0.0,0.0
18700,94,0,0.0,0.0
19164,95,0,0.0,0.0
19296,96,0,0.0,0.0
19936,97,0,0.0,0.0
20052,98,0,0.0,0.0
20268,99,0,0.0,0.0
20520,100,0,0.0,0.0
20704,101,0,0.0,0.0
20772,102,0,0.0,0.0
20904,103,0,0.0,0.0
21252,104,0,0.0,0.0
21348,105,0,0.0,0.0
21656,106,0,0.0,0.0
21980,107,0,0.0,0.0
22004,108,0,0.0,0.0
22348,109,0,0.0,0.0
22404,110,0,0.0,0.0
22652,111,0,0.0,0.0
22736,112,0,0.0,0.0
23068,113,0,0.0,0.0
23324,114,0,0.0,0.0
23404,115,0,0.0,0.0
23452,116,0,0.0,0.0
23788,117,0,0.0,0.0
24060,118,0,0.0,0.0
24152,119,0,0.0,0.0
24168,120,0,0.0,0.0
24420,121,0,0.0,0.0
24808,122,0,0.0,0.0
24888,123,0,0.0,0.0
24900,124,0,0.0,0.0
25144,125,0,0.0,0.0
25504,126,0,0.0,0.0
25536,127,0,0.0,0.0
25560,128,0,0.0,0.0
25940,129,0,0.0,0.0
26264,130,0,0.0,0.0
26268,131,0,0.0,0.0
26392,132,0,0.0,0.0
26620,133,0,0.0,0.0
26956,134,0,0.0,0.0
27012,135,0,0.0,0.0
27224,136,0,0.0,0.0
27544,137,0,0.0,0.0
27668,138,0,0.0,0.0
28116,139,0,0.0,0.0
28608,140,0,0.0,0.0
29368,141,0,0.0,0.0
29404,142,0,0.0,0.0
29420,143,0,0.0,0.0
30184,144,0,0.0,0.0
30332,145,0,0.0,0.0
30500,146,0,0.0,0.0
30772,147,0,0.0,0.0
30812,148,0,0.0,0.0
31076,149,0,0.0,0.0
31292,150,0,0.0,0.0
31416,151,0,0.0,0.0
31896,152,0,0.0,0.0
31944,153,0,0.0,0.0
32148,154,0,0.0,0.0
32332,155,0,0.0,0.0
32636,156,0,0.0,0.0
32640,157,0,0.0,0.0
32944,158,0,0.0,0.0
33004,159,0,0.0,0.0
33424,160,0,0.0,0.0
33580,161,0,0.0,0.0
33600,162,0,0.0,0.0
33624,163,0,0.0,0.0
34224,164,0,0.0,0.0
34404,165,0,0.0,0.0
34856,166,0,0.0,0.0
35168,167,0,0.0,0.0
35208,168,0,0.0,0.0
35420,169,0,0.0,0.0
35488,170,0,0.0,0.0
35772,171,0,0.0,0.0
35872,172,0,0.0,0.0
35908,173,0,0.0,0.0
35920,174,0,0.0,0.0
36280,175,0,0.0,0.0
36316,176,0,0.0,0.0
