Method,k,Mean_Return,Std_Dev
Random,0,452.5,149.36950826724978
SARFA,0,452.5,149.36950826724978
Random,5,292.0,143.11184437355283
SARFA,5,178.5,84.6773287249899
Random,10,297.0,134.14917070187204
SARFA,10,153.5,105.42888598481917
Random,15,139.5,103.98196959088628
SARFA,15,208.5,109.91019061033421
Random,20,275.0,126.13484847574837
SARFA,20,153.5,55.63497101643893
