condition,mean_len,mean_return,n,std_len,std_return
clean,836.5,399.0,10.0,244.84654235839844,184.643798828125
gray,664.2000122070312,297.0,10.0,123.05355834960938,141.4056396484375
sarfa_gray,506.6000061035156,153.5,10.0,136.27439880371094,111.13180541992188
mean,813.4000244140625,436.0,10.0,314.19073486328125,210.63131713867188
zero,693.2000122070312,289.0,10.0,142.47792053222656,142.55213928222656
random,621.0,206.0,10.0,159.9048309326172,98.56752014160156
