env_step,episode,ep_len,episodic_return,avg_return_100,q1_loss_ep_mean,q2_loss_ep_mean,actor_loss_ep_mean,alpha_ep_mean,updates_in_episode
486,1,486,165.0,165.0,,,,,0
1168,2,682,410.0,287.5,,,,,0
1755,3,587,160.0,245.0,,,,,0
2336,4,581,210.0,236.25,,,,,0
3037,5,701,230.0,235.0,,,,,0
3581,6,544,380.0,259.1666666666667,,,,,0
4007,7,426,30.0,226.42857142857142,,,,,0
4346,8,339,80.0,208.125,,,,,0
4956,9,610,235.0,211.11111111111111,,,,,0
5248,10,292,30.0,193.0,,,,,0
5669,11,421,145.0,188.63636363636363,,,,,0
6076,12,407,60.0,177.91666666666666,,,,,0
6566,13,490,35.0,166.92307692307693,,,,,0
7104,14,538,210.0,170.0,,,,,0
7589,15,485,110.0,166.0,,,,,0
7886,16,297,20.0,156.875,,,,,0
8368,17,482,185.0,158.52941176470588,,,,,0
8786,18,418,80.0,154.16666666666666,,,,,0
9380,19,594,210.0,157.10526315789474,,,,,0
10004,20,624,210.0,159.75,,,,,0
10299,21,295,105.0,157.14285714285714,,,,,0
10799,22,500,110.0,155.0,,,,,0
11314,23,515,135.0,154.1304347826087,,,,,0
11627,24,313,15.0,148.33333333333334,,,,,0
12147,25,520,135.0,147.8,,,,,0
12703,26,556,170.0,148.65384615384616,,,,,0
13262,27,559,105.0,147.03703703703704,,,,,0
13622,28,360,65.0,144.10714285714286,,,,,0
14056,29,434,35.0,140.3448275862069,,,,,0
14580,30,524,155.0,140.83333333333334,,,,,0
15177,31,597,125.0,140.32258064516128,,,,,0
15872,32,695,165.0,141.09375,,,,,0
16350,33,478,150.0,141.36363636363637,,,,,0
16929,34,579,155.0,141.76470588235293,,,,,0
17681,35,752,460.0,150.85714285714286,,,,,0
17950,36,269,65.0,148.47222222222223,,,,,0
18275,37,325,45.0,145.67567567567568,,,,,0
18851,38,576,210.0,147.3684210526316,,,,,0
19526,39,675,265.0,150.3846153846154,,,,,0
20257,40,731,460.0,158.125,14.620718043181114,14.608578851111815,-1.0300507604843006,0.2,256
21150,41,893,370.0,163.29268292682926,13.840378842230528,13.84052431289094,-2.2275201815106436,0.20000000000000004,893
21453,42,303,25.0,160.0,14.136845068529666,14.130104749417393,-3.5325244086803775,0.2,303
22186,43,733,210.0,161.1627906976744,8.740938298364194,8.735028651808191,-4.59895296864425,0.19999999999999998,733
22721,44,535,110.0,160.0,7.819509525150583,7.794956950532603,-5.8213534426466325,0.2,535
23243,45,522,135.0,159.44444444444446,14.693055265511733,14.64459352992418,-6.781497912388652,0.2,522
23525,46,282,105.0,158.2608695652174,19.480283099329032,19.338374104238518,-7.572930312325768,0.2,282
24157,47,632,135.0,157.7659574468085,15.32919063948425,15.108687505780283,-8.369176399858691,0.2,632
24539,48,382,105.0,156.66666666666666,11.643228444022112,11.38830029047265,-9.178879905121489,0.2,382
25155,49,616,240.0,158.3673469387755,15.019629008605374,14.818402909437896,-9.933735921785429,0.2,616
25898,50,743,235.0,159.9,7.799150373666356,7.836732721660653,-10.797732617620825,0.19999999999999998,743
26637,51,739,170.0,160.09803921568627,10.572875315288185,10.582423764430944,-11.69256751301808,0.2,739
27095,52,458,135.0,159.6153846153846,4.479448278349169,4.475605531274361,-12.525805142248561,0.2,458
27475,53,380,60.0,157.73584905660377,10.818937516526171,10.76485635918614,-12.898725113115812,0.2,380
27779,54,304,70.0,156.11111111111111,3.8240335362375175,3.7450885750402354,-13.273786306381226,0.2,304
28472,55,693,220.0,157.27272727272728,9.613988584727263,9.59524797078378,-13.846501782515004,0.19999999999999998,693
28998,56,526,155.0,157.23214285714286,8.763819532617644,8.745021306884833,-14.475530098599625,0.2,526
29399,57,401,45.0,155.26315789473685,13.080839457654596,13.117498092724944,-14.801697937924963,0.2,401
