Method,k,Mean_Return,Std_Dev
Random,0,717.0,199.57705278914207
SARFA,0,717.0,199.57705278914207
Random,5,639.0,150.6784656146989
SARFA,5,64.0,32.69556544854363
Random,10,502.5,128.92342688588448
SARFA,10,114.5,55.74271252818614
Random,15,340.5,212.9958919791647
SARFA,15,171.0,152.6400995806803
Random,20,206.5,96.23019276713521
SARFA,20,197.5,90.03471552684553
