condition,delta_return,delta_return_pct,mean_len,mean_return,n,std_len,std_return
clean,0.0,0.0,1171.8333740234375,787.8333129882812,30.0,394.59002685546875,288.9626770019531
random,-161.33331298828125,-20.478102452451264,988.6333618164062,626.5,30.0,292.070068359375,216.59254455566406
