condition,mean_len,mean_return,n,std_len,std_return
grey,1066.300048828125,639.0,10.0,196.9839324951172,158.82904052734375
sarfa_grey,330.1000061035156,64.0,10.0,68.01544189453125,34.46415328979492
mean,1131.300048828125,728.0,10.0,397.5765686035156,278.71929931640625
zero,1201.0,815.0,10.0,362.7748107910156,267.1453857421875
random,965.4000244140625,615.5,10.0,260.1671447753906,247.7616424560547
