condition,mean_len,mean_return,n,std_len,std_return
clean,857.4000244140625,590.5,10.0,176.6925811767578,163.81646728515625
gray,751.5999755859375,380.5,10.0,205.81663513183594,180.73077392578125
sarfa_gray,480.3999938964844,131.0,10.0,189.35105895996094,99.15756225585938
mean,725.7999877929688,492.0,10.0,126.28081512451172,103.79467010498047
zero,767.0999755859375,487.0,10.0,193.52085876464844,118.13833618164062
random,743.0999755859375,408.0,10.0,246.81053161621094,206.93798828125
