Method,k,Mean_Return,Std_Dev
Random,0,583.0,83.97023282092292
SARFA,0,583.0,83.97023282092292
Random,5,505.0,125.29964086141668
SARFA,5,144.0,122.40914998479485
Random,10,296.5,151.83955347668802
SARFA,10,192.5,124.76477868372949
Random,15,325.5,163.51528980495982
SARFA,15,115.0,68.8839603971781
Random,20,197.0,123.81841543163117
SARFA,20,204.0,85.492689745966
