condition,delta_return,delta_return_pct,mean_len,mean_return,n,std_len,std_return
clean,0.0,0.0,828.7333374023438,568.0,30.0,237.68524169921875,159.7552032470703
random,-204.83334350585938,-36.06220836370764,706.9666748046875,363.1666564941406,30.0,166.04205322265625,153.43470764160156
