env_step,episode,episodic_return,avg_return_100,epsilon,td_loss
140,0,35.0,35.0,0.999874,None
297,1,45.0,40.0,0.9997327,None
519,2,10.0,30.0,0.9995329,None
722,3,40.0,32.5,0.9993502,None
868,4,45.0,35.0,0.9992188,None
1071,5,20.0,32.5,0.9990361,None
1262,6,35.0,32.857142857142854,0.9988642,None
1413,7,50.0,35.0,0.9987283,None
1558,8,55.0,37.22222222222222,0.9985978,None
1725,9,65.0,40.0,0.9984475,None
1876,10,30.0,39.09090909090909,0.9983116,None
2066,11,75.0,42.083333333333336,0.9981406,None
2226,12,30.0,41.15384615384615,0.9979966,None
2385,13,15.0,39.285714285714285,0.9978535,None
2546,14,30.0,38.666666666666664,0.9977086,None
2752,15,20.0,37.5,0.9975232,None
2890,16,10.0,35.88235294117647,0.997399,None
3032,17,15.0,34.72222222222222,0.9972712,None
3121,18,5.0,33.1578947368421,0.9971911,None
3274,19,30.0,33.0,0.9970534,None
3451,20,35.0,33.095238095238095,0.9968941,None
3552,21,20.0,32.5,0.9968032,None
3760,22,55.0,33.47826086956522,0.996616,None
3909,23,20.0,32.916666666666664,0.9964819,None
4116,24,50.0,33.6,0.9962956,None
4275,25,30.0,33.46153846153846,0.9961525,None
4655,26,295.0,43.148148148148145,0.9958105,None
4814,27,15.0,42.142857142857146,0.9956674,None
4991,28,15.0,41.206896551724135,0.9955081,None
5198,29,40.0,41.166666666666664,0.9953218,None
5499,30,100.0,43.064516129032256,0.9950509,None
5583,31,5.0,41.875,0.9949753,None
5950,32,155.0,45.303030303030305,0.994645,None
6101,33,30.0,44.85294117647059,0.9945091,None
6236,34,35.0,44.57142857142857,0.9943876,None
6390,35,15.0,43.75,0.994249,None
6541,36,30.0,43.37837837837838,0.9941131,None
6753,37,35.0,43.1578947368421,0.9939223,None
7009,38,105.0,44.743589743589745,0.9936919,None
7176,39,65.0,45.25,0.9935416,None
7961,40,340.0,52.4390243902439,0.9928351,None
8135,41,130.0,54.285714285714285,0.9926785,None
8282,42,35.0,53.83720930232558,0.9925462,None
8408,43,5.0,52.72727272727273,0.9924328,None
8954,44,400.0,60.44444444444444,0.9919414,None
9161,45,50.0,60.21739130434783,0.9917551,None
9399,46,60.0,60.212765957446805,0.9915409,None
9548,47,50.0,60.0,0.9914068,None
9884,48,45.0,59.69387755102041,0.9911044,None
10026,49,5.0,58.6,0.9909766,None
10290,50,115.0,59.705882352941174,0.990739,None
10780,51,240.0,63.17307692307692,0.990298,None
11004,52,60.0,63.113207547169814,0.9900964,None
11272,53,15.0,62.22222222222222,0.9898552,None
11367,54,0.0,61.09090909090909,0.9897697,None
11531,55,15.0,60.267857142857146,0.9896221,None
11741,56,30.0,59.73684210526316,0.9894331,None
12019,57,120.0,60.775862068965516,0.9891829,None
12333,58,105.0,61.52542372881356,0.9889003,None
12505,59,45.0,61.25,0.9887455,None
12651,60,30.0,60.73770491803279,0.9886141,None
12800,61,15.0,60.0,0.98848,None
12994,62,65.0,60.07936507936508,0.9883054,None
13140,63,30.0,59.609375,0.988174,None
13469,64,150.0,61.0,0.9878779,None
13836,65,280.0,64.31818181818181,0.9875476,None
14243,66,130.0,65.29850746268657,0.9871813,None
14570,67,250.0,68.01470588235294,0.986887,None
14688,68,5.0,67.10144927536231,0.9867808,None
14845,69,15.0,66.35714285714286,0.9866395,None
15079,70,20.0,65.70422535211267,0.9864289,None
15261,71,75.0,65.83333333333333,0.9862651,None
15385,72,5.0,65.0,0.9861535,None
15531,73,75.0,65.13513513513513,0.9860221,None
16009,74,155.0,66.33333333333333,0.9855919,None
16190,75,80.0,66.51315789473684,0.985429,None
16359,76,15.0,65.84415584415585,0.9852769,None
16528,77,30.0,65.38461538461539,0.9851248,None
16708,78,85.0,65.63291139240506,0.9849628,None
16904,79,20.0,65.0625,0.9847864,None
17053,80,5.0,64.32098765432099,0.9846523,None
17201,81,15.0,63.71951219512195,0.9845191,None
17310,82,5.0,63.01204819277108,0.984421,None
17439,83,5.0,62.32142857142857,0.9843049,None
17608,84,30.0,61.94117647058823,0.9841528,None
17769,85,30.0,61.56976744186046,0.9840079,None
18039,86,55.0,61.49425287356322,0.9837649,None
18198,87,20.0,61.02272727272727,0.9836218,None
18351,88,50.0,60.89887640449438,0.9834841,None
18899,89,135.0,61.72222222222222,0.9829909,None
19082,90,55.0,61.64835164835165,0.9828262,None
19427,91,60.0,61.630434782608695,0.9825157,None
19579,92,15.0,61.12903225806452,0.9823789,None
19731,93,30.0,60.797872340425535,0.9822421,None
19931,94,60.0,60.78947368421053,0.9820621,None
20229,95,115.0,61.354166666666664,0.9817939,None
20449,96,85.0,61.597938144329895,0.9815959,None
20806,97,130.0,62.295918367346935,0.9812746,None
21082,98,30.0,61.96969696969697,0.9810262,None
21275,99,45.0,61.8,0.9808525,None
21362,100,0.0,61.45,0.9807742,None
21620,101,105.0,62.05,0.980542,None
21929,102,115.0,63.1,0.9802639,None
22081,103,15.0,62.85,0.9801271,None
22268,104,75.0,63.15,0.9799588,None
22493,105,35.0,63.3,0.9797563,None
22679,106,50.0,63.45,0.9795889,None
22838,107,40.0,63.35,0.9794458,None
22974,108,15.0,62.95,0.9793234,None
23274,109,310.0,65.4,0.9790534,None
23700,110,325.0,68.35,0.97867,None
23787,111,15.0,67.75,0.9785917,None
24013,112,10.0,67.55,0.9783883,None
24216,113,20.0,67.6,0.9782056,None
24322,114,0.0,67.3,0.9781102,None
24490,115,30.0,67.4,0.977959,None
24662,116,50.0,67.8,0.9778042,None
24878,117,50.0,68.15,0.9776098,None
25021,118,50.0,68.6,0.9774811,None
25189,119,30.0,68.6,0.9773299,None
25294,120,5.0,68.3,0.9772354,None
25418,121,0.0,68.1,0.9771238,None
25604,122,55.0,68.1,0.9769564,None
25960,123,135.0,69.25,0.976636,None
26138,124,40.0,69.15,0.9764758,None
26284,125,15.0,69.0,0.9763444,None
26439,126,40.0,66.45,0.9762049,None
26607,127,30.0,66.6,0.9760537,None
26780,128,85.0,67.3,0.975898,None
26917,129,25.0,67.15,0.9757747,None
27104,130,60.0,66.75,0.9756064,None
27391,131,90.0,67.6,0.9753481,None
27804,132,90.0,66.95,0.9749764,None
27886,133,5.0,66.7,0.9749026,None
28078,134,35.0,66.7,0.9747298,None
28246,135,15.0,66.7,0.9745786,None
28444,136,20.0,66.6,0.9744003999999999,None
28619,137,85.0,67.1,0.9742429,None
28768,138,25.0,66.3,0.9741088,None
28908,139,40.0,66.05,0.9739828,None
29053,140,10.0,62.75,0.9738523,None
29210,141,30.0,61.75,0.973711,None
29390,142,30.0,61.7,0.973549,None
29474,143,30.0,61.95,0.9734734,None
29614,144,0.0,57.95,0.9733474,None
29762,145,45.0,57.9,0.9732142,None
29930,146,30.0,57.6,0.973063,None
30243,147,110.0,58.2,0.9727813,None
30395,148,45.0,58.2,0.9726445,None
30567,149,65.0,58.8,0.9724897,None
30862,150,35.0,58.0,0.9722242,None
31044,151,50.0,56.1,0.9720604,None
31191,152,5.0,55.55,0.9719281,None
31372,153,80.0,56.2,0.9717652,None
31590,154,75.0,56.95,0.971569,None
31741,155,65.0,57.45,0.9714331,None
32178,156,135.0,58.5,0.9710398,None
32360,157,50.0,57.8,0.970876,None
32539,158,55.0,57.3,0.9707149,None
32627,159,15.0,57.0,0.9706357,None
32737,160,0.0,56.7,0.9705367,None
32891,161,5.0,56.6,0.9703981,None
33055,162,5.0,56.0,0.9702505,None
33363,163,75.0,56.45,0.9699733,None
33534,164,50.0,55.45,0.9698194,None
33726,165,50.0,53.15,0.9696466,None
33869,166,25.0,52.1,0.9695179,None
34043,167,20.0,49.8,0.9693613,None
34467,168,135.0,51.1,0.9689797,None
34856,169,75.0,51.7,0.9686296,None
35064,170,15.0,51.65,0.9684424,None
35372,171,20.0,51.1,0.9681652,None
35524,172,10.0,51.15,0.9680284,None
35694,173,50.0,50.9,0.9678754,None
35880,174,20.0,49.55,0.967708,None
36027,175,50.0,49.25,0.9675757,None
36214,176,50.0,49.6,0.9674074,None
36569,177,105.0,50.35,0.9670879,None
36792,178,30.0,49.8,0.9668872,None
36932,179,0.0,49.6,0.9667612,None
37119,180,50.0,50.05,0.9665929,None
37463,181,110.0,51.0,0.9662833,None
37616,182,50.0,51.45,0.9661456,None
37795,183,85.0,52.25,0.9659845,None
37956,184,30.0,52.25,0.9658396,None
38331,185,45.0,52.4,0.9655021,None
39327,186,575.0,57.6,0.9646057,None
39500,187,30.0,57.7,0.96445,None
39654,188,15.0,57.35,0.9643114,None
39860,189,105.0,57.05,0.964126,None
40107,190,30.0,56.8,0.9639037,None
40286,191,75.0,56.95,0.9637426,None
40494,192,35.0,57.15,0.9635554,None
40637,193,0.0,56.85,0.9634267,None
40783,194,30.0,56.55,0.9632953,None
40922,195,5.0,55.45,0.9631702,None
41146,196,50.0,55.1,0.9629686,None
41327,197,60.0,54.4,0.9628057,None
41577,198,105.0,55.15,0.9625807,None
41765,199,105.0,55.75,0.9624115,None
41910,200,30.0,56.05,0.9622809999999999,None
42086,201,10.0,55.1,0.9621226,None
42434,202,320.0,57.15,0.9618094,None
42825,203,120.0,58.2,0.9614575,None
43034,204,5.0,57.5,0.9612693999999999,None
43117,205,0.0,57.15,0.9611947,None
43303,206,45.0,57.1,0.9610273,None
43478,207,50.0,57.2,0.9608698,None
43641,208,10.0,57.15,0.9607231,None
43725,209,0.0,54.05,0.9606475,None
