env_step,episode,ep_len,episodic_return,avg_return_100,actor_loss_ep_mean,critic_loss_ep_mean,entropy_ep_mean,total_loss_ep_mean,updates_in_episode
0,1,512,155.0,155.0,,,,,0
0,2,846,350.0,252.5,,,,,0
0,3,557,180.0,228.33333333333334,,,,,0
1,4,614,175.0,215.0,0.1516697257757187,70.31748962402344,1.7914738655090332,35.29249954223633,1
1,5,349,35.0,179.0,,,,,0
1,6,389,50.0,157.5,,,,,0
1,7,392,135.0,154.28571428571428,,,,,0
2,8,961,560.0,205.0,-0.10835765302181244,76.95494842529297,1.7915410995483398,38.35120391845703,1
2,9,570,210.0,205.55555555555554,,,,,0
2,10,425,110.0,196.0,,,,,0
3,11,571,315.0,206.8181818181818,0.05009981989860535,236.16456604003906,1.7915730476379395,118.11447143554688,1
3,12,262,55.0,194.16666666666666,,,,,0
3,13,452,335.0,205.0,,,,,0
3,14,584,195.0,204.28571428571428,,,,,0
3,15,448,70.0,195.33333333333334,,,,,0
4,16,307,45.0,185.9375,-0.12314297258853912,629.4336547851562,1.7915828227996826,314.5757751464844,1
4,17,366,20.0,176.1764705882353,,,,,0
4,18,544,155.0,175.0,,,,,0
4,19,344,105.0,171.31578947368422,,,,,0
4,20,427,210.0,173.25,,,,,0
5,21,486,120.0,170.71428571428572,-0.12205485254526138,89.58313751220703,1.7915160655975342,44.6515998840332,1
5,22,562,170.0,170.6818181818182,,,,,0
5,23,557,100.0,167.6086956521739,,,,,0
5,24,520,310.0,173.54166666666666,,,,,0
6,25,663,155.0,172.8,0.14716267585754395,36.24329376220703,1.7912973165512085,18.250896453857422,1
6,26,505,145.0,171.73076923076923,,,,,0
6,27,330,110.0,169.44444444444446,,,,,0
6,28,281,45.0,165.0,,,,,0
6,29,295,35.0,160.51724137931035,,,,,0
7,30,636,215.0,162.33333333333334,-0.2008558213710785,67.98040008544922,1.790833830833435,33.77143478393555,1
7,31,497,135.0,161.4516129032258,,,,,0
7,32,378,75.0,158.75,,,,,0
7,33,391,10.0,154.24242424242425,,,,,0
8,34,383,35.0,150.73529411764707,-0.2916821837425232,78.93635559082031,1.7898633480072021,39.15859603881836,1
8,35,529,130.0,150.14285714285714,,,,,0
8,36,363,105.0,148.88888888888889,,,,,0
8,37,531,185.0,149.86486486486487,,,,,0
9,38,781,210.0,151.44736842105263,-0.098081573843956,96.01880645751953,1.78829026222229,47.89344024658203,1
9,39,600,195.0,152.56410256410257,,,,,0
9,40,412,80.0,150.75,,,,,0
9,41,288,60.0,148.53658536585365,,,,,0
