env_step,episode,ep_len,episodic_return,avg_return_100
511,1,511,105.0,105.0
857,2,346,135.0,120.0
1338,3,481,135.0,125.0
1810,4,472,45.0,105.0
2392,5,582,315.0,147.0
2832,6,440,120.0,142.5
3804,7,972,480.0,190.71428571428572
4146,8,342,90.0,178.125
4497,9,351,85.0,167.77777777777777
5227,10,730,370.0,188.0
6046,11,819,395.0,206.8181818181818
7275,12,1229,620.0,241.25
7685,13,410,185.0,236.92307692307693
8514,14,829,225.0,236.07142857142858
9107,15,593,250.0,237.0
10025,16,918,225.0,236.25
10304,17,279,35.0,224.41176470588235
11244,18,940,235.0,225.0
12104,19,860,170.0,222.10526315789474
12970,20,866,235.0,222.75
13820,21,850,220.0,222.61904761904762
14302,22,482,85.0,216.36363636363637
14825,23,523,340.0,221.7391304347826
15284,24,459,235.0,222.29166666666666
16059,25,775,325.0,226.4
16597,26,538,270.0,228.07692307692307
17135,27,538,270.0,229.62962962962962
17673,28,538,270.0,231.07142857142858
18211,29,538,270.0,232.41379310344828
18749,30,538,270.0,233.66666666666666
19287,31,538,270.0,234.83870967741936
19825,32,538,270.0,235.9375
20363,33,538,270.0,236.96969696969697
20901,34,538,270.0,237.94117647058823
21439,35,538,270.0,238.85714285714286
21977,36,538,270.0,239.72222222222223
22515,37,538,270.0,240.54054054054055
23053,38,538,270.0,241.31578947368422
23591,39,538,270.0,242.05128205128204
24129,40,538,270.0,242.75
24667,41,538,270.0,243.41463414634146
25205,42,538,270.0,244.04761904761904
25743,43,538,270.0,244.65116279069767
26281,44,538,270.0,245.22727272727272
26819,45,538,270.0,245.77777777777777
27357,46,538,270.0,246.30434782608697
27895,47,538,270.0,246.80851063829786
28433,48,538,270.0,247.29166666666666
28971,49,538,270.0,247.75510204081633
29509,50,538,270.0,248.2
30047,51,538,270.0,248.62745098039215
30585,52,538,270.0,249.03846153846155
31123,53,538,270.0,249.43396226415095
31661,54,538,270.0,249.8148148148148
32199,55,538,270.0,250.1818181818182
32737,56,538,270.0,250.53571428571428
33275,57,538,270.0,250.87719298245614
33813,58,538,270.0,251.20689655172413
34351,59,538,270.0,251.52542372881356
34889,60,538,270.0,251.83333333333334
35427,61,538,270.0,252.13114754098362
35965,62,538,270.0,252.41935483870967
36503,63,538,270.0,252.6984126984127
37041,64,538,270.0,252.96875
37579,65,538,270.0,253.23076923076923
38117,66,538,270.0,253.4848484848485
38655,67,538,270.0,253.73134328358208
39193,68,538,270.0,253.97058823529412
39731,69,538,270.0,254.20289855072463
40269,70,538,270.0,254.42857142857142
40807,71,538,270.0,254.64788732394365
41345,72,538,270.0,254.86111111111111
41883,73,538,280.0,255.2054794520548
42421,74,538,270.0,255.40540540540542
42959,75,538,270.0,255.6
43497,76,538,270.0,255.78947368421052
44035,77,538,270.0,255.97402597402598
44574,78,539,280.0,256.28205128205127
45113,79,539,275.0,256.5189873417722
45651,80,538,270.0,256.6875
46190,81,539,270.0,256.85185185185185
46729,82,539,275.0,257.0731707317073
47863,83,1134,465.0,259.578313253012
48402,84,539,275.0,259.76190476190476
48940,85,538,275.0,259.94117647058823
49478,86,538,280.0,260.1744186046512
50016,87,538,270.0,260.28735632183907
50554,88,538,270.0,260.39772727272725
51092,89,538,280.0,260.6179775280899
51631,90,539,280.0,260.8333333333333
52169,91,538,270.0,260.9340659340659
52707,92,538,310.0,261.4673913043478
53240,93,533,270.0,261.55913978494624
53779,94,539,305.0,262.02127659574467
54317,95,538,295.0,262.36842105263156
54856,96,539,280.0,262.5520833333333
55394,97,538,270.0,262.62886597938143
55932,98,538,270.0,262.7040816326531
56470,99,538,270.0,262.77777777777777
57008,100,538,290.0,263.05
57546,101,538,270.0,264.7
58084,102,538,270.0,266.05
58622,103,538,280.0,267.5
59160,104,538,270.0,269.75
59699,105,539,280.0,269.4
60237,106,538,270.0,270.9
60775,107,538,270.0,268.8
61313,108,538,270.0,270.6
61851,109,538,280.0,272.55
62389,110,538,270.0,271.55
62927,111,538,270.0,270.3
63465,112,538,275.0,266.85
64003,113,538,270.0,267.7
64541,114,538,295.0,268.4
65079,115,538,270.0,268.6
65617,116,538,270.0,269.05
66155,117,538,270.0,271.4
66694,118,539,280.0,271.85
67490,119,796,295.0,273.1
68029,120,539,280.0,273.55
68568,121,539,280.0,274.15
69106,122,538,270.0,276.0
69644,123,538,270.0,275.3
70183,124,539,270.0,275.65
70721,125,538,270.0,275.1
71259,126,538,270.0,275.1
71797,127,538,270.0,275.1
72335,128,538,270.0,275.1
