env_step,episode,ep_len,episodic_return,avg_return_100
517,1,517,135.0,135.0
1069,2,552,205.0,170.0
1343,3,274,15.0,118.33333333333333
2244,4,901,300.0,163.75
3146,5,902,415.0,214.0
3403,6,257,5.0,179.16666666666666
4081,7,678,265.0,191.42857142857142
4717,8,636,250.0,198.75
5238,9,521,180.0,196.66666666666666
5689,10,451,75.0,184.5
6198,11,509,160.0,182.27272727272728
7429,12,1231,595.0,216.66666666666666
7951,13,522,175.0,213.46153846153845
8274,14,323,25.0,200.0
8787,15,513,185.0,199.0
9189,16,402,40.0,189.0625
9748,17,559,100.0,183.8235294117647
10282,18,534,160.0,182.5
11144,19,862,220.0,184.47368421052633
12117,20,973,225.0,186.5
12415,21,298,30.0,179.04761904761904
12903,22,488,140.0,177.27272727272728
13232,23,329,30.0,170.8695652173913
14116,24,884,160.0,170.41666666666666
14943,25,827,295.0,175.4
15783,26,840,180.0,175.57692307692307
16600,27,817,145.0,174.44444444444446
16974,28,374,95.0,171.60714285714286
17514,29,540,125.0,170.0
18415,30,901,465.0,179.83333333333334
18952,31,537,130.0,178.2258064516129
19770,32,818,135.0,176.875
20633,33,863,215.0,178.03030303030303
21483,34,850,210.0,178.97058823529412
22321,35,838,230.0,180.42857142857142
22816,36,495,140.0,179.30555555555554
23278,37,462,90.0,176.8918918918919
24123,38,845,405.0,182.89473684210526
25007,39,884,385.0,188.07692307692307
25522,40,515,130.0,186.625
26367,41,845,210.0,187.1951219512195
26846,42,479,95.0,185.0
27316,43,470,80.0,182.5581395348837
28130,44,814,175.0,182.38636363636363
28971,45,841,170.0,182.11111111111111
29789,46,818,145.0,181.30434782608697
30769,47,980,655.0,191.38297872340425
31284,48,515,140.0,190.3125
32211,49,927,265.0,191.83673469387756
33051,50,840,215.0,192.3
33883,51,832,245.0,193.33333333333334
34370,52,487,135.0,192.21153846153845
35198,53,828,160.0,191.60377358490567
36033,54,835,135.0,190.55555555555554
36752,55,719,25.0,187.54545454545453
37583,56,831,415.0,191.60714285714286
37961,57,378,0.0,188.24561403508773
38339,58,378,0.0,185.0
38870,59,531,80.0,183.22033898305085
39706,60,836,435.0,187.41666666666666
40518,61,812,165.0,187.04918032786884
40915,62,397,45.0,184.75806451612902
41394,63,479,140.0,184.04761904761904
41917,64,523,165.0,183.75
42754,65,837,190.0,183.84615384615384
43373,66,619,240.0,184.6969696969697
44014,67,641,215.0,185.1492537313433
44868,68,854,415.0,188.52941176470588
45745,69,877,515.0,193.2608695652174
46556,70,811,180.0,193.07142857142858
47386,71,830,210.0,193.30985915492957
47908,72,522,80.0,191.73611111111111
48744,73,836,160.0,191.3013698630137
49123,74,379,20.0,188.98648648648648
49948,75,825,170.0,188.73333333333332
50330,76,382,5.0,186.31578947368422
50812,77,482,10.0,184.02597402597402
51546,78,734,110.0,183.07692307692307
51924,79,378,30.0,181.13924050632912
52744,80,820,110.0,180.25
53135,81,391,20.0,178.2716049382716
53939,82,804,175.0,178.23170731707316
54470,83,531,110.0,177.40963855421685
54987,84,517,190.0,177.5595238095238
55510,85,523,135.0,177.05882352941177
56034,86,524,160.0,176.86046511627907
56403,87,369,15.0,175.0
57120,88,717,545.0,179.20454545454547
57606,89,486,140.0,178.76404494382024
58090,90,484,70.0,177.55555555555554
58483,91,393,45.0,176.0989010989011
58959,92,476,40.0,174.6195652173913
59441,93,482,60.0,173.38709677419354
60134,94,693,90.0,172.5
60515,95,381,5.0,170.73684210526315
61053,96,538,135.0,170.36458333333334
61747,97,694,5.0,168.659793814433
62599,98,852,355.0,170.5612244897959
