env_step,episode,ep_len,episodic_return,avg_return_100,q1_loss_ep_mean,q2_loss_ep_mean,actor_loss_ep_mean,alpha_ep_mean,updates_in_episode
733,1,733,165.0,165.0,,,,,0
1162,2,429,85.0,125.0,,,,,0
1488,3,326,105.0,118.33333333333333,,,,,0
2050,4,562,195.0,137.5,,,,,0
2420,5,370,105.0,131.0,,,,,0
3001,6,581,85.0,123.33333333333333,,,,,0
3496,7,495,180.0,131.42857142857142,,,,,0
3937,8,441,135.0,131.875,,,,,0
4364,9,427,180.0,137.22222222222223,,,,,0
4826,10,462,125.0,136.0,,,,,0
5123,11,297,15.0,125.0,,,,,0
5871,12,748,385.0,146.66666666666666,,,,,0
6349,13,478,120.0,144.6153846153846,,,,,0
6825,14,476,230.0,150.71428571428572,,,,,0
7359,15,534,160.0,151.33333333333334,,,,,0
7776,16,417,35.0,144.0625,,,,,0
8376,17,600,190.0,146.76470588235293,,,,,0
8756,18,380,80.0,143.05555555555554,,,,,0
9134,19,378,155.0,143.68421052631578,,,,,0
9430,20,296,80.0,140.5,,,,,0
9839,21,409,110.0,139.04761904761904,,,,,0
10218,22,379,75.0,136.13636363636363,,,,,0
10504,23,286,65.0,133.04347826086956,,,,,0
11502,24,998,285.0,139.375,,,,,0
12031,25,529,180.0,141.0,,,,,0
12573,26,542,210.0,143.65384615384616,,,,,0
12994,27,421,55.0,140.37037037037038,,,,,0
13514,28,520,110.0,139.28571428571428,,,,,0
13903,29,389,55.0,136.3793103448276,,,,,0
14419,30,516,165.0,137.33333333333334,,,,,0
15032,31,613,210.0,139.67741935483872,,,,,0
15419,32,387,105.0,138.59375,,,,,0
15743,33,324,90.0,137.12121212121212,,,,,0
16274,34,531,305.0,142.05882352941177,,,,,0
16576,35,302,75.0,140.14285714285714,,,,,0
17075,36,499,210.0,142.08333333333334,,,,,0
17626,37,551,320.0,146.8918918918919,,,,,0
18100,38,474,180.0,147.76315789473685,,,,,0
18550,39,450,80.0,146.02564102564102,,,,,0
18874,40,324,135.0,145.75,,,,,0
19366,41,492,135.0,145.4878048780488,,,,,0
19891,42,525,180.0,146.3095238095238,,,,,0
20363,43,472,120.0,145.69767441860466,11.84080194373929,11.845833295773591,-2.4121408707858447,,362
20756,44,393,100.0,144.6590909090909,8.637410897221274,8.625664299415572,-5.895374477061303,,393
21297,45,541,155.0,144.88888888888889,9.313799660497942,8.925486035011502,-9.757996569719861,,541
21985,46,688,220.0,146.52173913043478,8.93277469467978,8.243378399676361,-13.109585899253224,,688
22400,47,415,105.0,145.63829787234042,9.533115548469935,9.042174703600894,-15.151992227944984,,415
22878,48,478,135.0,145.41666666666666,8.64819449099038,8.053193434137679,-16.38596226281202,,478
23876,49,998,190.0,146.3265306122449,7.687973643442194,7.347248566652348,-17.786201656700854,,998
24445,50,569,115.0,145.7,5.282330137774061,4.84493382754351,-18.905360096158798,,569
24847,51,402,105.0,144.90196078431373,8.601334164984785,7.714094663882137,-19.416079245989597,,402
