env_step,episode,episodic_return,avg_return_100,epsilon,td_loss
98,0,0.0,0.0,0.9999118,None
450,1,4.0,2.0,0.999595,None
604,2,2.0,2.0,0.9994564,None
714,3,1.0,1.75,0.9993574,None
871,4,4.0,2.2,0.9992161,None
1044,5,4.0,2.5,0.9990604,None
1240,6,3.0,2.5714285714285716,0.998884,None
1397,7,4.0,2.75,0.9987427,None
1677,8,6.0,3.111111111111111,0.9984907,None
2062,9,9.0,3.7,0.9981442,None
2191,10,2.0,3.5454545454545454,0.9980281,None
2353,11,6.0,3.75,0.9978823,None
2535,12,5.0,3.8461538461538463,0.9977185,None
2682,13,3.0,3.7857142857142856,0.9975862,None
2821,14,2.0,3.6666666666666665,0.9974611,None
2990,15,4.0,3.6875,0.997309,None
3146,16,2.0,3.588235294117647,0.9971686,None
3368,17,4.0,3.611111111111111,0.9969688,None
3574,18,9.0,3.8947368421052633,0.9967834,None
3722,19,2.0,3.8,0.9966502,None
3881,20,5.0,3.857142857142857,0.9965071,None
4263,21,6.0,3.9545454545454546,0.9961633,None
4607,22,5.0,4.0,0.9958537,None
4799,23,3.0,3.9583333333333335,0.9956809,None
4943,24,3.0,3.92,0.9955513,None
5071,25,3.0,3.8846153846153846,0.9954361,None
5248,26,5.0,3.925925925925926,0.9952768,None
5402,27,3.0,3.892857142857143,0.9951382,None
5540,28,1.0,3.793103448275862,0.995014,None
5700,29,4.0,3.8,0.99487,None
5855,30,2.0,3.7419354838709675,0.9947305,None
6005,31,5.0,3.78125,0.9945955,None
6118,32,0.0,3.6666666666666665,0.9944938,None
6312,33,6.0,3.735294117647059,0.9943192,None
6548,34,4.0,3.742857142857143,0.9941068,None
6695,35,2.0,3.6944444444444446,0.9939745,None
6841,36,2.0,3.6486486486486487,0.9938431,None
7032,37,5.0,3.6842105263157894,0.9936712,None
7192,38,3.0,3.6666666666666665,0.9935272,None
7338,39,4.0,3.675,0.9933958,None
7443,40,0.0,3.5853658536585367,0.9933013,None
7741,41,9.0,3.7142857142857144,0.9930331,None
7906,42,1.0,3.6511627906976742,0.9928846,None
8071,43,3.0,3.6363636363636362,0.9927361,None
8459,44,8.0,3.7333333333333334,0.9923869,None
8708,45,9.0,3.847826086956522,0.9921628,None
8849,46,1.0,3.7872340425531914,0.9920359,None
9063,47,2.0,3.75,0.9918433,None
9230,48,4.0,3.7551020408163267,0.991693,None
9391,49,3.0,3.74,0.9915481,None
9530,50,1.0,3.6862745098039214,0.9914229999999999,None
9680,51,5.0,3.7115384615384617,0.991288,None
9883,52,5.0,3.7358490566037736,0.9911053,None
10250,53,8.0,3.814814814814815,0.990775,None
10406,54,1.0,3.7636363636363637,0.9906346,None
10766,55,10.0,3.875,0.9903106,None
11188,56,9.0,3.9649122807017543,0.9899308,None
11502,57,8.0,4.0344827586206895,0.9896482,None
11661,58,4.0,4.033898305084746,0.9895051,None
11858,59,4.0,4.033333333333333,0.9893278,None
12003,60,2.0,4.0,0.9891973,None
12273,61,6.0,4.032258064516129,0.9889543,None
12472,62,8.0,4.095238095238095,0.9887752,None
12551,63,0.0,4.03125,0.9887041,None
12652,64,2.0,4.0,0.9886132,None
12804,65,2.0,3.9696969696969697,0.9884764,None
13023,66,7.0,4.014925373134329,0.9882793,None
13492,67,7.0,4.0588235294117645,0.9878572,None
13654,68,3.0,4.043478260869565,0.9877114,None
13814,69,5.0,4.057142857142857,0.9875674,None
13986,70,3.0,4.042253521126761,0.9874126,None
14291,71,10.0,4.125,0.9871381,None
14604,72,5.0,4.136986301369863,0.9868564,None
14887,73,6.0,4.162162162162162,0.9866017,None
15070,74,4.0,4.16,0.986437,None
15243,75,5.0,4.171052631578948,0.9862813,None
15647,76,7.0,4.207792207792208,0.9859177,None
15807,77,3.0,4.1923076923076925,0.9857737,None
15932,78,3.0,4.177215189873418,0.9856612,None
16111,79,3.0,4.1625,0.9855001,None
16211,80,1.0,4.1234567901234565,0.9854101,None
16374,81,3.0,4.109756097560975,0.9852634,None
16555,82,6.0,4.132530120481928,0.9851005,None
16744,83,4.0,4.130952380952381,0.9849304,None
16934,84,2.0,4.105882352941176,0.9847594,None
17091,85,2.0,4.0813953488372094,0.9846181,None
17230,86,2.0,4.057471264367816,0.984493,None
17389,87,2.0,4.034090909090909,0.9843499,None
17565,88,2.0,4.01123595505618,0.9841915,None
17758,89,5.0,4.022222222222222,0.9840178,None
18057,90,8.0,4.065934065934066,0.9837487,None
18292,91,4.0,4.065217391304348,0.9835372,None
18465,92,1.0,4.032258064516129,0.9833815,None
