env_step,episode,episodic_return,avg_return_100,epsilon,td_loss
1100,0,240.0,240.0,0.99901,None
2115,1,190.0,215.0,0.9980965,None
2590,2,105.0,178.33333333333334,0.997669,None
3333,3,170.0,176.25,0.9970003,None
3730,4,30.0,147.0,0.996643,None
4436,5,200.0,155.83333333333334,0.9960076,None
5402,6,225.0,165.71428571428572,0.9951382,None
5891,7,85.0,155.625,0.9946981,None
6495,8,405.0,183.33333333333334,0.9941545,None
7573,9,420.0,207.0,0.9931843,None
8007,10,65.0,194.0909090909091,0.9927937,None
8327,11,35.0,180.83333333333334,0.9925057,None
8635,12,50.0,170.76923076923077,0.9922285,None
9137,13,135.0,168.21428571428572,0.9917767,None
10084,14,255.0,174.0,0.9909244,None
10457,15,80.0,168.125,0.9905887,None
11003,16,155.0,167.35294117647058,0.9900973,None
11482,17,145.0,166.11111111111111,0.9896662,None
11835,18,55.0,160.26315789473685,0.9893485,None
12170,19,50.0,154.75,0.989047,None
12579,20,50.0,149.76190476190476,0.9886789,None
13076,21,210.0,152.5,0.9882316,None
13985,22,240.0,156.30434782608697,0.9874135,None
14433,23,110.0,154.375,0.9870103,None
14958,24,95.0,152.0,0.9865378,None
15336,25,100.0,150.0,0.9861976,None
15734,26,5.0,144.62962962962962,0.9858394,None
16420,27,260.0,148.75,0.985222,None
16789,28,45.0,145.17241379310346,0.9848899,None
17447,29,180.0,146.33333333333334,0.9842976999999999,None
17931,30,180.0,147.41935483870967,0.9838621,None
18314,31,45.0,144.21875,0.9835174,None
19179,32,365.0,150.9090909090909,0.9827389,None
19714,33,155.0,151.02941176470588,0.9822574,None
20325,34,415.0,158.57142857142858,0.9817075,None
21024,35,285.0,162.08333333333334,0.9810784,None
21719,36,210.0,163.3783783783784,0.9804529,None
22663,37,190.0,164.07894736842104,0.9796033,None
23405,38,230.0,165.76923076923077,0.9789355,None
23979,39,160.0,165.625,0.9784189,None
24564,40,155.0,165.3658536585366,0.9778924,None
25172,41,290.0,168.33333333333334,0.9773452,None
25459,42,30.0,165.11627906976744,0.9770869,None
26119,43,350.0,169.3181818181818,0.9764929,None
26500,44,50.0,166.66666666666666,0.97615,None
26873,45,30.0,163.69565217391303,0.9758143,None
27363,46,140.0,163.19148936170214,0.9753733,None
27830,47,110.0,162.08333333333334,0.974953,None
28118,48,105.0,160.91836734693877,0.9746938,None
28704,49,180.0,161.3,0.9741664,None
29305,50,360.0,165.19607843137254,0.9736255,None
29884,51,210.0,166.05769230769232,0.9731044,None
30430,52,115.0,165.0943396226415,0.972613,None
31028,53,180.0,165.37037037037038,0.9720748,None
31533,54,155.0,165.1818181818182,0.9716203,None
31824,55,65.0,163.39285714285714,0.9713584,None
32331,56,120.0,162.6315789473684,0.9709021,None
32866,57,125.0,161.98275862068965,0.9704206,None
33244,58,120.0,161.27118644067798,0.9700804,None
33643,59,180.0,161.58333333333334,0.9697213,None
34269,60,195.0,162.13114754098362,0.9691579,None
34872,61,175.0,162.33870967741936,0.9686152,None
35175,62,90.0,161.1904761904762,0.9683425,None
35473,63,45.0,159.375,0.9680743,None
35857,64,105.0,158.53846153846155,0.9677287,None
36239,65,135.0,158.1818181818182,0.9673849,None
36833,66,115.0,157.53731343283582,0.9668503,None
37126,67,45.0,155.88235294117646,0.9665866,None
37651,68,180.0,156.231884057971,0.9661141,None
38272,69,210.0,157.0,0.9655552,None
38777,70,135.0,156.69014084507043,0.9651007,None
39123,71,110.0,156.04166666666666,0.9647893,None
39649,72,135.0,155.75342465753425,0.9643159,None
40248,73,225.0,156.6891891891892,0.9637768,None
40565,74,65.0,155.46666666666667,0.9634915,None
41179,75,125.0,155.06578947368422,0.9629389,None
41600,76,80.0,154.0909090909091,0.96256,None
42336,77,365.0,156.7948717948718,0.9618976,None
42788,78,105.0,156.13924050632912,0.9614908,None
43372,79,140.0,155.9375,0.9609652,None
43777,80,105.0,155.30864197530863,0.9606007,None
44570,81,285.0,156.890243902439,0.959887,None
44985,82,155.0,156.86746987951807,0.9595135,None
45365,83,30.0,155.35714285714286,0.9591715,None
45958,84,425.0,158.52941176470588,0.9586378,None
46508,85,60.0,157.38372093023256,0.9581428,None
46919,86,120.0,156.95402298850576,0.9577729,None
47232,87,80.0,156.07954545454547,0.9574912,None
47502,88,25.0,154.6067415730337,0.9572482,None
47881,89,120.0,154.22222222222223,0.9569071,None
48250,90,55.0,153.13186813186815,0.956575,None
48621,91,80.0,152.33695652173913,0.9562411,None
49003,92,90.0,151.66666666666666,0.9558973,None
49683,93,200.0,152.18085106382978,0.9552853,None
50295,94,155.0,152.21052631578948,0.9547345,None
51008,95,265.0,153.38541666666666,0.9540928,0.00012324604904279113
51595,96,120.0,153.04123711340208,0.9535645,None
51943,97,120.0,152.70408163265307,0.9532513,None
52434,98,115.0,152.32323232323233,0.9528094,None
52833,99,55.0,151.35,0.9524503,None
53342,100,100.0,149.95,0.9519922,None
53636,101,45.0,148.5,0.9517276,0.6089274883270264
54462,102,180.0,149.25,0.9509842,None
54827,103,55.0,148.1,0.9506557,None
55202,104,70.0,148.5,0.9503182,None
55763,105,170.0,148.2,0.9498133,None
56580,106,380.0,149.75,0.949078,0.0002207737707067281
57047,107,125.0,150.15,0.9486577,None
57847,108,435.0,150.45,0.9479377,None
58592,109,210.0,148.35,0.9472672,0.00021706410916522145
59118,110,180.0,149.5,0.9467938,None
59843,111,295.0,152.1,0.9461413,None
60203,112,65.0,152.25,0.9458173,None
60667,113,105.0,151.95,0.9453997,None
61150,114,135.0,150.75,0.944965,None
61677,115,125.0,151.2,0.9444907,None
62351,116,145.0,151.1,0.9438841,None
62839,117,90.0,150.55,0.9434449,None
63628,118,265.0,152.65,0.9427348,0.29707813262939453
64136,119,90.0,153.05,0.9422776,0.00030250640702433884
64437,120,45.0,153.0,0.9420067,None
64900,121,75.0,151.65,0.94159,0.00028136069886386395
65288,122,45.0,149.7,0.9412408,0.2804226279258728
65648,123,35.0,148.95,0.9409168,0.0003268170985393226
66542,124,505.0,153.05,0.9401122,None
67003,125,125.0,153.3,0.9396973,None
67585,126,110.0,154.35,0.9391735,None
68221,127,205.0,153.8,0.9386011,None
68513,128,55.0,153.9,0.9383383,None
69052,129,190.0,154.0,0.9378531999999999,0.4531344771385193
69526,130,105.0,153.25,0.9374266,None
70073,131,210.0,154.9,0.9369343,None
70362,132,65.0,151.9,0.9366742,None
71195,133,260.0,152.95,0.9359245,None
71824,134,260.0,151.4,0.9353584,0.00016760158177930862
72613,135,260.0,151.15,0.9346483,None
73111,136,120.0,150.25,0.9342001,None
73607,137,65.0,149.0,0.9337537,None
74503,138,330.0,150.0,0.9329473,None
74926,139,35.0,148.75,0.9325666,None
75217,140,55.0,147.75,0.9323047,None
75756,141,140.0,146.25,0.9318196,0.000984623795375228
76362,142,440.0,150.35,0.9312742,None
76862,143,155.0,148.4,0.9308242,None
77596,144,380.0,151.7,0.9301636,0.0008096609963104129
78053,145,110.0,152.5,0.9297523,None
78639,146,285.0,153.95,0.9292249,None
79146,147,135.0,154.2,0.9287685999999999,None
80166,148,315.0,156.3,0.9278506,None
80417,149,25.0,154.75,0.9276247,None
80866,150,60.0,151.75,0.9272206000000001,None
81454,151,135.0,151.0,0.9266913999999999,None
81959,152,150.0,151.35,0.9262369,None
82249,153,125.0,150.8,0.9259759,None
82746,154,210.0,151.35,0.9255286,None
83712,155,265.0,153.35,0.9246592,0.00033508508931845427
84105,156,80.0,152.95,0.9243055,None
84637,157,105.0,152.75,0.9238267,None
85086,158,35.0,151.9,0.9234226,None
85753,159,445.0,154.55,0.9228223,None
86477,160,245.0,155.05,0.9221707,None
86753,161,35.0,153.65,0.9219223,None
