env_step,episode,episodic_return,avg_return_100,epsilon,td_loss
554,0,140.0,140.0,0.9995014,
1128,1,175.0,157.5,0.9989848,
1649,2,145.0,153.33333333333334,0.9985159,
2148,3,120.0,145.0,0.9980668,
2445,4,125.0,141.0,0.9977995,
2932,5,165.0,145.0,0.9973612,
3708,6,195.0,152.14285714285714,0.9966628,
4040,7,65.0,141.25,0.996364,
4599,8,135.0,140.55555555555554,0.9958609,
5113,9,150.0,141.5,0.9953983,
5731,10,155.0,142.72727272727272,0.9948421,
6191,11,155.0,143.75,0.9944281,
6580,12,105.0,140.76923076923077,0.994078,
7047,13,135.0,140.35714285714286,0.9936577,
7548,14,155.0,141.33333333333334,0.9932068,
7932,15,70.0,136.875,0.9928612,
8750,16,355.0,149.7058823529412,0.992125,
9259,17,90.0,146.38888888888889,0.9916669,
9868,18,155.0,146.8421052631579,0.9911188,
10165,19,45.0,141.75,0.9908515,
10705,20,260.0,147.38095238095238,0.9903655,
11198,21,135.0,146.8181818181818,0.9899218,
11490,22,65.0,143.2608695652174,0.989659,
12288,23,460.0,156.45833333333334,0.9889408,
12791,24,110.0,154.6,0.9884881,
13738,25,210.0,156.73076923076923,0.9876358,
14371,26,155.0,156.66666666666666,0.9870661,
15291,27,210.0,158.57142857142858,0.9862381,
15813,28,120.0,157.24137931034483,0.9857683,
16423,29,120.0,156.0,0.9852193,
16781,30,55.0,152.74193548387098,0.9848971,
17368,31,210.0,154.53125,0.9843688,
17878,32,120.0,153.4848484848485,0.9839098,
18243,33,30.0,149.85294117647058,0.9835813,
18797,34,210.0,151.57142857142858,0.9830827,
19298,35,95.0,150.0,0.9826318,
19562,36,45.0,147.16216216216216,0.9823942,
20166,37,210.0,148.81578947368422,0.9818506,
20488,38,10.0,145.25641025641025,0.9815608,
20991,39,115.0,144.5,0.9811081,
21563,40,310.0,148.53658536585365,0.9805933,
22077,41,110.0,147.61904761904762,0.9801307,
22712,42,210.0,149.06976744186048,0.9795592,
23105,43,75.0,147.38636363636363,0.9792055,
23716,44,160.0,147.66666666666666,0.9786556,
24282,45,150.0,147.7173913043478,0.9781462,
24789,46,220.0,149.25531914893617,0.9776899,
25430,47,180.0,149.89583333333334,0.977113,
25809,48,90.0,148.6734693877551,0.9767719,
26304,49,105.0,147.8,0.9763264,
26883,50,185.0,148.52941176470588,0.9758053,
27275,51,100.0,147.59615384615384,0.9754525000000001,
